iter	MAE
0	4477392.762
1	4348511.615
2	4243821.875
3	4161651.115
4	4091124.45
5	4020297.323
6	3964509.883
7	3904991.678
8	3862270.302
9	3828355.645
10	3789303.163
11	3762930.691
12	3740793.637
13	3719785.743
14	3702102.801
15	3687799.772
16	3679056.74
17	3668323.371
18	3658773.882
19	3650354.761
20	3642819.22
21	3635724.964
22	3629336.82
23	3625233.588
24	3621573.492
25	3616293.308
26	3613409.489
27	3611681.058
28	3609869.055
29	3608386.941
30	3606971.634
31	3605074.125
32	3602862.67
33	3601858.045
34	3600796.944
35	3599964.158
36	3598834.279
37	3597664.888
38	3596716.666
39	3595962.826
40	3595504.696
41	3594577.241
42	3593589.89
43	3592896.707
44	3592376.622
45	3591682.088
46	3591256.437
47	3589631.707
48	3588789.372
49	3588097.959
50	3587340.498
51	3585042.385
52	3584904.407
53	3583779.173
54	3583527.659
55	3582622.742
56	3582165.681
57	3579211.19
58	3578595.798
59	3578155.358
60	3577585.587
61	3576807.396
62	3576074.967
63	3575922.701
64	3575532.908
65	3574675.259
66	3574117.618
67	3573761.26
68	3573317.725
69	3572992.142
70	3572776.531
71	3572362.053
72	3571605.3
73	3570578.056
74	3570103.155
75	3569193.845
76	3568589.097
77	3567112.804
78	3566785.537
79	3565913.915
80	3565273.552
81	3564286.507
82	3563946.753
83	3562198.38
84	3561474.306
85	3561016.169
86	3559971.884
87	3558513.394
88	3557555.952
89	3555718.749
90	3553547.607
91	3552036.885
92	3551218.979
93	3549818.675
94	3549345.51
95	3547654.455
96	3546457.344
97	3546200.147
98	3544417.012
99	3543525.969
100	3542811.068
101	3542010.815
102	3541495.49
103	3539594.85
104	3539377.192
105	3538742.781
106	3537734.261
107	3537249.417
108	3536773.719
109	3535603.315
110	3535232.177
111	3534378.246
112	3533551.927
113	3532622.064
114	3531036.218
115	3529757.076
116	3528562.132
117	3527599.339
118	3526701.373
119	3524425.683
120	3523104.983
121	3521624.001
122	3519998.787
123	3519059.798
124	3518295.843
125	3516805.297
126	3515270.485
127	3514483.326
128	3513705.4
129	3512592.848
130	3511448.869
131	3511331.312
132	3510271.163
133	3508976.616
134	3507569.277
135	3506382.695
136	3506215.194
137	3505005.971
138	3504140.838
139	3503747.916
140	3503100.119
141	3502081.06
142	3501476.739
143	3500347.681
144	3499806.685
145	3499385.545
146	3499209.283
147	3498315.845
148	3497347.618
149	3497256.285
150	3496631.366
151	3496047.503
152	3495668.039
153	3494970.949
154	3494504.823
155	3493800.431
156	3492841.829
157	3492344.706
158	3491710.901
159	3491395.887
160	3491166.092
161	3490623.758
162	3490450.127
163	3489902.023
164	3489555.839
165	3489077.869
166	3488410.987
167	3488017.372
168	3487677.047
169	3487216.31
170	3486841.378
171	3486239.532
172	3485691.532
173	3485263.123
174	3484638.155
175	3484070.274
176	3483462.346
177	3482874.645
178	3482466.324
179	3482063.321
180	3481548.535
181	3481419.56
182	3481180.665
183	3480466.565
184	3479945.586
185	3478864.675
186	3478545.978
187	3478316.654
188	3478182.847
189	3477869.26
190	3477295.959
191	3477113.964
192	3477005.61
193	3476687.666
194	3476310.867
195	3475950.246
196	3475267.578
197	3474811.569
198	3474497.467
199	3473911.044
200	3473608.735
201	3473428.29
202	3473128.127
203	3472900.255
204	3472559.706
205	3472161.362
206	3471024.799
207	3470825.9
208	3470714.617
209	3470563.642
210	3470201.651
211	3469403.989
212	3468983.745
213	3468364.812
214	3468145.536
215	3467862.526
216	3467295.235
217	3466943.804
218	3466677.626
219	3466538.444
220	3466229.393
221	3466064.259
222	3465558.459
223	3465049.044
224	3464603.987
225	3464443.668
226	3464364.527
227	3464257.506
228	3464101.35
229	3463736.649
230	3463411.131
231	3463115.621
232	3462701.444
233	3462336.542
234	3461922.066
235	3461583.101
236	3461245.573
237	3460713.76
238	3460326.806
239	3460292.723
240	3459926.514
241	3459317.624
242	3458596.117
243	3458493.236
244	3457801.004
245	3457300.117
246	3456997.582
247	3456745.244
248	3456559.537
249	3456510.294
250	3455940.51
251	3455852.903
252	3455373.981
253	3455286.969
254	3455048.383
255	3454645.938
256	3454299.718
257	3454139.117
258	3453926.425
259	3453806.174
260	3453419.683
261	3453352.697
262	3453075.107
263	3452176.258
264	3452005.035
265	3451884.029
266	3451776.145
267	3451450.364
268	3451350.624
269	3450701.906
270	3450238.312
271	3450070.474
272	3449709.199
273	3449577.23
274	3449279.626
275	3449129.557
276	3448545.236
277	3448358.072
278	3448326.102
279	3447943.077
280	3447623.653
281	3447516.182
282	3447335.519
283	3447206.742
284	3447006.25
285	3446966.906
286	3446638.99
287	3446572.645
288	3446222.077
289	3445906.922
290	3445860.844
291	3445463.235
292	3445122.25
293	3445058.652
294	3444609.014
295	3444401.848
296	3444261.728
297	3444020.445
298	3443959.721
299	3443464.601
300	3443211.336
301	3443017.44
302	3442036.819
303	3441923.135
304	3441810.717
305	3441743.589
306	3441539.042
307	3441333.07
308	3441191.72
309	3441116.854
310	3440347.547
311	3439898.461
312	3439308.678
313	3438622.056
314	3438433.479
315	3438289.021
316	3438261.158
317	3438225.027
318	3438199.363
319	3437998.537
320	3437709.719
321	3437291.694
322	3436326.324
323	3436215.751
324	3436101.162
325	3435770.552
326	3435704.246
327	3435614.988
328	3435501.35
329	3435205.814
330	3435055.289
331	3434976.592
332	3434687.245
333	3434239.428
334	3434149.32
335	3433966.695
336	3433854.487
337	3433780.426
338	3433463.771
339	3433186.433
340	3433057.189
341	3433008.004
342	3432873.556
343	3432658.313
344	3432596.638
345	3432347.29
346	3432305.484
347	3432263.306
348	3432143.181
349	3431729.99
350	3431543.205
351	3431430.546
352	3431373.522
353	3430968.396
354	3430924.108
355	3430638.929
356	3430397.711
357	3430350.433
358	3429560.042
359	3429506.417
360	3429413.058
361	3429293.339
362	3428881.809
363	3428488.044
364	3428447.298
365	3428023.13
366	3427746.679
367	3427651.156
368	3427635.164
369	3427602.197
370	3426976.023
371	3426958.262
372	3426760.636
373	3426588.805
374	3426496.383
375	3426441.272
376	3426428.787
377	3426307.8
378	3426151.528
379	3426111.288
380	3425860.513
381	3425753.808
382	3425088.693
383	3425031.721
384	3424985.393
385	3424821.251
386	3424786.135
387	3424760.979
388	3424290.658
389	3424278.517
390	3424264.883
391	3424229.697
392	3424100.467
393	3423313.215
394	3423127.614
395	3423002.318
396	3422908.67
397	3422770.1
398	3422746.339
399	3422077.94
400	3422050.572
401	3421890.543
402	3421868.741
403	3421833.558
404	3421814.264
405	3421807.502
406	3421760.831
407	3420906.599
408	3420717.434
409	3420430.743
410	3420261.23
411	3420136.319
412	3420045.02
413	3419659.273
414	3419522.172
415	3419396.383
416	3418699.173
417	3418061.223
418	3417937.78
419	3417663.846
420	3417640.704
421	3416981.407
422	3416671.21
423	3416585.656
424	3416358.619
425	3416235.768
426	3416051.581
427	3415432.074
428	3415313.505
429	3415294.281
430	3415203.777
431	3415079.872
