iter	Passed	Remaining
0	57	57624
1	58	29067
2	58	19541
3	59	14780
4	59	11917
5	60	10013
6	61	8657
7	61	7622
8	61	6824
9	62	6186
10	62	5662
11	63	5243
12	64	4873
13	64	4556
14	65	4277
15	65	4034
16	66	3823
17	66	3631
18	66	3459
19	67	3303
20	67	3162
21	68	3036
22	68	2922
23	69	2817
24	69	2719
25	70	2629
26	70	2546
27	71	2469
28	71	2396
29	72	2329
30	72	2265
31	72	2205
32	73	2148
33	73	2098
34	74	2048
35	74	2002
36	75	1959
37	75	1916
38	76	1875
39	76	1837
40	77	1802
41	77	1766
42	77	1732
43	78	1699
44	78	1668
45	78	1637
46	79	1608
47	79	1580
48	80	1553
49	80	1528
50	80	1504
51	81	1480
52	81	1457
53	81	1436
54	82	1414
55	82	1394
56	83	1374
57	83	1355
58	83	1336
59	84	1318
60	84	1301
61	84	1285
62	85	1273
63	86	1258
64	86	1242
65	86	1227
66	87	1214
67	87	1202
68	88	1190
69	88	1180
70	89	1168
71	89	1156
72	90	1144
73	90	1134
74	91	1122
75	91	1111
76	91	1101
77	92	1090
78	92	1080
79	93	1071
80	93	1061
81	93	1052
82	94	1043
83	94	1034
84	95	1025
85	95	1016
86	96	1007
87	96	999
88	96	992
89	97	984
90	97	976
91	98	968
92	98	961
93	98	954
94	99	946
95	99	939
96	100	932
97	100	925
98	101	919
99	101	912
100	102	908
101	102	904
102	103	899
103	103	893
104	104	887
105	104	882
106	105	877
107	105	872
108	106	866
109	106	861
110	106	856
111	107	851
112	107	846
113	108	841
114	108	837
115	109	833
116	109	828
117	110	823
118	110	819
119	111	815
120	111	810
121	111	805
122	112	800
123	112	796
124	113	792
125	113	787
126	113	783
127	114	779
128	114	774
129	115	770
130	115	766
131	115	762
132	116	758
133	116	755
134	117	751
135	117	747
136	118	744
137	118	740
138	119	737
139	119	733
140	119	730
141	120	726
142	120	724
143	121	721
144	121	717
145	122	714
146	122	711
147	123	708
148	123	705
149	123	702
150	124	698
151	124	696
152	125	693
153	125	689
154	126	686
155	126	683
156	126	680
157	127	678
158	127	675
159	128	672
160	128	669
161	128	667
162	129	664
163	129	661
164	130	658
165	130	656
166	131	653
167	131	651
168	131	648
169	132	646
170	132	643
171	133	640
172	133	638
173	133	635
174	134	633
175	134	631
176	135	628
177	135	626
178	136	623
179	136	621
180	136	618
181	137	616
182	137	614
183	138	612
184	138	610
185	138	607
186	139	605
187	139	603
188	140	601
189	140	599
190	140	597
191	141	595
192	141	593
193	142	590
194	142	588
195	143	586
196	143	584
197	143	582
198	144	580
199	144	578
200	145	576
201	145	574
202	145	572
203	146	570
204	146	568
205	147	566
206	147	565
207	147	563
208	148	561
209	148	559
210	149	557
211	149	556
212	150	554
213	150	552
214	150	551
215	151	549
216	151	548
217	152	546
218	152	544
219	153	542
220	153	541
221	154	539
222	154	538
223	154	536
224	155	534
225	155	533
226	156	531
227	156	529
228	157	528
229	157	527
230	157	525
231	158	524
232	158	522
233	159	521
234	159	519
235	159	517
236	160	516
237	160	514
238	161	513
239	161	511
240	161	510
241	162	508
242	162	507
243	163	505
244	163	504
245	163	502
246	164	500
247	164	499
248	165	498
249	165	496
250	165	495
251	166	494
252	166	492
253	167	491
254	167	490
255	168	488
256	168	487
257	169	486
258	169	485
259	169	483
260	170	482
261	170	480
262	171	479
263	171	478
264	172	477
265	172	476
266	173	474
267	173	473
268	173	472
269	174	470
270	174	469
271	174	468
272	175	466
273	175	465
274	176	464
275	176	462
276	176	461
277	177	460
278	177	458
279	177	457
280	178	456
281	178	455
282	179	453
283	179	452
284	179	451
285	180	450
286	180	448
287	181	447
288	181	446
289	181	444
290	182	443
291	182	442
292	182	441
293	183	439
294	183	438
295	183	437
296	184	436
297	184	434
298	184	433
299	185	432
300	185	431
301	186	429
302	186	428
303	186	427
304	187	426
305	187	425
306	188	424
307	188	423
308	188	422
309	189	421
310	189	420
311	190	420
312	190	418
313	191	418
314	191	417
315	192	416
316	192	415
317	193	414
318	193	413
319	194	412
320	194	411
321	195	410
322	195	409
323	195	408
324	196	407
325	196	407
326	197	406
327	197	405
328	198	404
329	198	403
330	199	402
331	199	401
332	199	400
333	200	399
334	200	398
335	201	397
336	201	396
337	202	395
338	202	394
339	202	394
340	203	393
341	203	392
342	204	391
343	204	390
344	204	389
345	205	388
346	205	387
347	206	386
348	206	385
349	207	384
350	207	383
351	207	382
352	208	382
353	208	381
354	209	380
355	209	379
356	210	378
357	210	377
358	210	376
359	211	375
360	211	374
361	212	374
362	212	373
363	213	372
364	213	371
365	213	370
366	214	369
367	214	369
368	215	368
369	215	367
370	216	366
371	216	365
372	217	365
373	217	364
374	218	363
375	218	362
376	218	361
377	219	360
378	219	360
379	220	359
380	220	358
381	221	357
382	221	357
383	222	356
384	222	355
385	222	354
386	223	354
387	223	353
388	224	352
389	224	351
390	225	350
391	225	350
392	226	349
393	226	348
394	227	348
395	227	347
396	228	346
397	228	345
398	229	344
399	229	344
400	229	343
401	230	342
402	230	342
403	231	341
404	231	340
405	232	340
406	232	339
407	233	338
408	233	337
409	234	337
410	234	336
411	235	335
412	235	335
413	236	334
414	236	333
415	236	332
416	237	332
417	238	331
418	238	330
419	238	329
420	239	329
421	239	328
422	240	327
423	240	326
424	241	326
425	241	325
426	242	324
427	242	324
428	242	323
429	243	322
430	243	321
431	244	321
432	244	320
433	245	319
434	245	318
435	245	318
436	246	317
437	246	316
438	247	316
439	247	315
440	248	314
441	248	313
442	249	313
443	249	312
444	249	311
445	250	311
446	250	310
447	251	309
448	251	308
449	252	308
450	252	307
451	252	306
452	253	305
453	253	305
454	254	304
455	254	303
456	254	302
457	255	302
458	255	301
459	256	300
460	256	299
461	256	299
462	257	298
463	257	297
464	258	297
465	258	296
466	258	295
467	259	294
468	259	294
469	260	293
470	260	292
471	260	291
472	261	291
473	261	290
474	262	289
475	262	288
476	262	288
477	263	287
478	263	286
479	264	286
480	264	285
481	265	284
482	265	284
483	266	283
484	266	282
485	267	282
486	267	281
487	267	281
488	268	280
489	268	279
490	269	278
491	269	278
492	269	277
493	270	276
494	270	276
495	271	275
496	271	274
497	271	274
498	272	273
499	272	272
500	273	272
501	273	271
502	273	270
503	274	269
504	274	269
505	275	268
506	275	267
507	275	267
508	276	266
509	276	265
510	276	265
511	277	264
512	277	263
513	278	263
514	278	262
515	279	261
516	279	261
517	280	260
518	280	259
519	280	259
520	281	258
521	281	258
522	282	257
523	282	256
524	283	256
525	283	255
526	283	254
527	284	254
528	284	253
529	285	252
530	285	252
531	285	251
532	286	250
533	286	250
534	286	249
535	287	248
536	287	248
537	288	247
538	288	246
539	289	246
540	289	245
541	289	244
542	290	244
543	290	243
544	291	242
545	291	242
546	291	241
547	292	241
548	292	240
549	293	239
550	293	239
551	293	238
552	294	237
553	294	237
554	295	236
555	295	236
556	296	235
557	296	234
558	296	234
559	297	233
560	297	233
561	298	232
562	298	231
563	298	231
564	299	230
565	299	229
566	300	229
567	300	228
568	301	228
569	301	227
570	302	226
571	302	226
572	302	225
573	303	225
574	303	224
575	304	223
576	305	223
577	305	223
578	305	222
579	306	221
580	306	221
581	307	220
582	307	219
583	307	219
584	308	218
585	308	218
586	309	217
587	309	217
588	310	216
589	310	215
590	311	215
591	311	214
592	311	214
593	312	213
594	312	212
595	312	212
596	313	211
597	313	210
598	314	210
599	314	209
600	315	209
601	315	208
602	315	208
603	316	207
604	316	206
605	317	206
606	317	205
607	318	205
608	318	204
609	319	203
610	319	203
611	319	202
612	320	202
613	320	201
614	321	201
615	321	200
616	322	200
617	322	199
618	322	198
619	323	198
620	323	197
621	324	197
622	324	196
623	325	195
624	325	195
625	326	194
626	326	194
627	327	193
628	327	193
629	327	192
630	328	192
631	328	191
632	329	190
633	329	190
634	330	189
635	330	189
636	330	188
637	331	188
638	331	187
639	332	187
640	332	186
641	333	186
642	334	185
643	334	184
644	334	184
645	335	183
646	335	183
647	336	182
648	336	182
649	337	181
650	337	180
651	337	180
652	338	179
653	338	179
654	339	178
655	339	178
656	339	177
657	340	176
658	340	176
659	341	175
660	341	175
661	342	174
662	342	174
663	343	173
664	343	172
665	343	172
666	344	171
667	344	171
668	345	170
669	345	170
670	346	169
671	346	169
672	347	168
673	347	168
674	347	167
675	348	167
676	348	166
677	349	165
678	349	165
679	350	164
680	350	164
681	350	163
682	351	163
683	351	162
684	352	162
685	352	161
686	353	161
687	353	160
688	354	159
689	354	159
690	355	158
691	355	158
692	355	157
693	356	157
694	356	156
695	357	156
696	357	155
697	358	154
698	358	154
699	358	153
700	359	153
701	359	152
702	360	152
703	360	151
704	361	151
705	361	150
706	361	149
707	362	149
708	362	148
709	362	148
710	363	147
711	363	147
712	364	146
713	364	146
714	365	145
715	365	144
716	365	144
717	366	143
718	366	143
719	367	142
720	367	142
721	367	141
722	368	141
723	368	140
724	369	140
725	369	139
726	370	139
727	370	138
728	371	137
729	371	137
730	371	136
731	372	136
732	372	135
733	373	135
